"ID","OBJ","DIAGNOSTIC","POSITION","FACE","ORIENTATION","FEATURE","FEATURE_DETAIL","NOTES","MERGE","N"
309,"MUN 87/2-1-1-2:1","d","wall",NA,"helic","fissure/crack/break","break(s)",NA,"wall  helic fissure/crack/break",1
309,"MUN 87/2-1-1-2:1","d","base",NA,"concentric","fissure/crack/break","break(s)","base broken off","base  concentric fissure/crack/break",1
79,"MUN 87/2-1-1-2:2 -4:3",NA,"rim","break","diagonal","lamination","lamination",NA,"rim break diagonal lamination",1
79,"MUN 87/2-1-1-2:2 -4:3","d","wall",NA,"helic","fissure/crack/break","break(s)",NA,"wall  helic fissure/crack/break",1
79,"MUN 87/2-1-1-2:2 -4:3","d","base",NA,"concentric","fissure/crack/break","break(s)","base broken off","base  concentric fissure/crack/break",1
80,"MUN 87/2-1-1-4:2",NA,"rim","inside","horizontal","impression(s)","impression(s)",NA,"rim inside horizontal impression(s)",1
80,"MUN 87/2-1-1-4:2",NA,"wall","inside","horizontal","polishing facets","polishing facets","small ridges (pebble or nut) used small object","wall inside horizontal polishing facets",1
80,"MUN 87/2-1-1-4:2",NA,"wall/base",NA,NA,"coil(s)","coil(s)","according to PhD added coil","wall/base   coil(s)",1
80,"MUN 87/2-1-1-4:2",NA,"base","inside",NA,"thickening","thickening",NA,"base inside  thickening",1
80,"MUN 87/2-1-1-4:2","d","wall","inside","helic","fissure/crack/break","break(s)","fissures/cracks (inside) + break(s)","wall inside helic fissure/crack/break",1
80,"MUN 87/2-1-1-4:2","d","base",NA,"concentric","fissure/crack/break","break(s)",NA,"base  concentric fissure/crack/break",1
234,"MUN 87/2-1-1-4:5,6,8","d","wall",NA,"helic + vertical","fissure/crack/break","break(s)",NA,"wall  helic + vertical fissure/crack/break",1
234,"MUN 87/2-1-1-4:5,6,8","d","base",NA,"concentric","fissure/crack/break","break(s)","base broken off","base  concentric fissure/crack/break",1
234,"MUN 87/2-1-1-4:5,6,8",NA,"base",NA,NA,"thinning","thinning","Bodenscherbe deutl. dünner als Wand; W ~10mm, B ~6-7mm","base   thinning",1
235,"MUN 87/2-1-1-4:7",NA,"wall/base","inside","horizontal","joint","joint",NA,"wall/base inside horizontal joint",1
235,"MUN 87/2-1-1-4:7","d","base",NA,"concentric","fissure/crack/break","break(s)","plug Boden?","base  concentric fissure/crack/break",1
113,"MUN 87/2-1-1-5:2",NA,"wall","inside","horizontal","polishing facets","polishing facets",NA,"wall inside horizontal polishing facets",1
113,"MUN 87/2-1-1-5:2",NA,"base","inside",NA,"thickening","thickening",NA,"base inside  thickening",1
113,"MUN 87/2-1-1-5:2",NA,"wall","break","vertical","lamination","lamination",NA,"wall break vertical lamination",1
113,"MUN 87/2-1-1-5:2","d","wall","outside","helic","fissure/crack/break","fissures/cracks",NA,"wall outside helic fissure/crack/break",1
113,"MUN 87/2-1-1-5:2","d","base",NA,"concentric +  radial","fissure/crack/break",NA,"fissures/cracks (radial) + break(s)","base  concentric +  radial fissure/crack/break",1
239,"MUN 87/2-1-1-7:2","d","wall","inside","helic","fissure/crack/break","fissures/cracks",NA,"wall inside helic fissure/crack/break",1
239,"MUN 87/2-1-1-7:2",NA,"wall/base","inside","horizontal","compression folds","compression folds",NA,"wall/base inside horizontal compression folds",1
239,"MUN 87/2-1-1-7:2","d","base",NA,"concentric","fissure/crack/break","break(s)","base broken off","base  concentric fissure/crack/break",1
236,"MUN 87/2-1-1-8:1","d","wall",NA,"vertical","fissure/crack/break","fissures/cracks","joint of ring?","wall  vertical fissure/crack/break",1
236,"MUN 87/2-1-1-8:1",NA,"wall/base","inside","horizontal","compression folds","compression folds",NA,"wall/base inside horizontal compression folds",1
236,"MUN 87/2-1-1-8:1","d","base",NA,"radial","fissure/crack/break","fissures/cracks",NA,"base  radial fissure/crack/break",1
236,"MUN 87/2-1-1-8:1",NA,"wall/base","outside",NA,"thickening","thickening",NA,"wall/base outside  thickening",1
238,"MUN 87/2-1-1-8:2","d","wall","inside + outside","helic + vertical","fissure/crack/break","fissures/cracks","vertical fissues (inside + outside) (joint of main ring?) + helical fissues (inside)","wall inside + outside helic + vertical fissure/crack/break",1
238,"MUN 87/2-1-1-8:2","d","base","inside + outside","concentric","fissure/crack/break","fissures/cracks",NA,"base inside + outside concentric fissure/crack/break",1
238,"MUN 87/2-1-1-8:2","d","base","outside","x","paddel marks","paddel marks",NA,"base outside x paddel marks",1
